years,genre,nationality,style
1266,1,1,2
1360,0,2,2
1395,1,3,2
1450,1,4,1
1452,1,1,2
1471,1,5,2
1475,1,1,2
1488,1,1,2
1525,1,3,2
1541,0,6,2
1571,2,1,2
1599,2,7,2
1606,2,4,2
1746,3,7,2
1775,3,8,2
1819,0,9,2
1830,4,9,2
1832,4,9,2
1834,4,9,2
1839,5,9,1
1840,4,9,2
1841,4,9,2
1844,0,9,1
1853,5,4,1
1856,6,2,2
1859,5,9,1
1862,6,0,2
1864,5,9,2
1866,7,2,1
1869,4,9,2
1872,9,4,1
1879,7,5,1
1881,9,7,1
1884,7,1,1
1886,8,10,2
1893,8,7,1
1898,8,12,1
1904,8,7,1
1907,8,10,1
1928,9,11,1
1445,1,1,2
1483,1,1,2
1577,2,3,2
1798,3,9,2
1839,4,9,2
1848,5,9,2
1863,6,12,2
1879,9,2,1
1887,0,9,1
1912,9,11,1
